,a,b
0,0.51,1.0
1,2.08,0.54
2,0.71,0.09
3,0.34,0.97
4,1.66,0.45
5,0.02,0.36
6,0.09,0.04
7,0.1,0.35
8,0.52,0.6
9,0.36,0.25
10,0.65,3.87
11,2.15,40.71
12,4.41,1.88
13,2.42,4.51
14,0.3,48.55
15,3.63,2.5
16,0.7,26.74
17,31.31,0.15
18,4.34,0.75
19,1.03,15.86
20,0.83,4.21
21,0.12,1.07
22,1.3,7.07
23,0.09,2.25
24,2.12,3.0
25,0.02,0.47
26,0.08,1.56
27,21.47,2.01
28,25.05,0.35
29,16.06,0.01
30,0.02,0.84
31,0.04,186.71
32,0.04,0.0
33,0.03,0.14
34,1.63,0.62
35,0.35,1.77
36,1.0,11.11
37,0.35,9.21
38,0.18,16.07
39,82.22,19.29
40,3.66,0.25
41,0.12,0.89
42,13.67,0.34
43,0.24,2.53
44,0.56,0.45
45,21.1,0.14
46,0.19,59.37
47,0.58,0.73
48,0.52,0.26
49,41.37,5.79
50,70.63,0.08
51,1.6,0.34
52,59.02,0.22
53,0.05,0.01
54,0.66,0.0
55,15.96,0.88
56,0.59,0.25
57,2.09,0.24
58,1.61,5.15
59,4.34,0.15
60,1.72,36.87
61,0.04,0.03
62,0.43,0.0
63,0.21,0.62
64,3.53,2.33
65,0.02,34.3
66,0.17,0.35
67,12.78,0.45
68,2.15,0.7
69,191.95,172.16
70,0.92,0.02
71,0.0,2.06
72,8.45,0.95
73,1.51,0.13
74,0.47,0.44
75,0.06,1.26
76,0.67,0.16
77,3.61,1.0
78,2.08,4.11
79,1.2,4.94
80,3.68,0.37
81,1.44,0.55
82,0.11,1.08
83,1.85,6.09
84,2.95,1.42
85,64.19,13.12
86,1.11,2.92
87,0.1,0.03
88,12.31,8.84
89,4.87,0.25
90,0.3,3.14
91,0.07,0.98
92,27.99,7.17
93,0.03,1.1
94,0.26,1.35
95,1.85,0.03
96,0.1,18.43
97,0.67,1.05
98,2.92,0.43
99,0.42,15.42
100,0.06,3.31
101,0.27,1.67
102,0.79,2.78
103,11.47,1.14
104,0.11,0.1
105,25.86,0.07
106,0.15,7.1
107,20.01,9.46
108,107.88,3.16
109,16.37,1.93
110,0.67,7.91
111,36.3,11.7
112,12.0,2.46
113,2.82,8.4
114,0.68,6.57
115,0.44,0.32
116,0.76,5.66
117,160.48,0.11
118,3.04,0.01
119,2.59,4.26
120,0.36,0.42
121,2.03,62.36
122,0.54,0.07
123,0.21,7.39
124,1.21,0.6
125,0.36,1.78
126,1.32,0.1
127,0.79,166.48
128,0.22,0.55
129,3.04,75.61
130,3.49,0.84
131,0.0,0.07
132,0.58,0.18
133,0.68,16.57
134,0.58,0.29
135,15.43,1.19
136,1.19,19.56
137,0.41,10.02
138,0.19,0.11
139,3.89,0.54
140,0.03,27.7
141,0.51,0.31
142,0.27,7.74
143,0.42,1.57
144,0.5,0.07
145,0.08,1.91
146,0.08,0.28
147,0.89,1.3
148,0.16,0.19
149,20.99,3.94
150,2.06,0.88
151,0.09,7.0
152,3.02,0.1
153,0.61,0.69
154,1.65,9.67
155,27.6,13.95
156,7.22,8.78
157,0.14,6.25
158,2.95,0.21
159,0.4,2.55
160,9.04,3.96
161,0.93,1.75
162,0.03,4.51
163,0.0,0.39
164,0.23,5.42
165,0.17,0.57
166,0.18,0.17
167,107.54,0.04
168,1.29,10.58
169,6.49,0.08
170,0.13,0.11
171,4.1,0.04
172,0.3,77.6
173,0.03,56.02
174,0.5,0.18
175,0.89,0.02
176,0.1,0.19
177,21.7,0.25
178,1.12,0.35
179,0.04,2.22
180,0.01,0.11
181,5.15,0.75
182,5.49,2.27
183,3.95,2.13
184,0.14,2.07
185,0.14,0.28
186,3.54,0.67
187,0.41,4.44
188,1.01,0.06
189,4.32,7.36
190,11.21,0.38
191,0.19,7.27
192,0.72,0.02
193,1.78,2.5
194,0.27,0.3
195,8.27,9.77
196,0.11,0.77
197,2.77,0.11
198,0.41,5.92
199,16.08,0.16
200,1.37,0.08
201,0.26,0.11
202,0.56,0.14
203,0.07,0.17
204,4.78,0.21
205,0.74,6.21
206,0.64,7.52
207,2.76,12.8
208,3.32,56.99
209,0.45,3.06
210,0.09,0.74
211,12.43,0.06
212,2.65,0.36
213,1.45,0.99
214,6.66,16.22
215,0.59,0.25
216,31.59,30.37
217,0.71,28.01
218,0.64,0.58
219,1.49,0.47
220,0.52,1.02
221,0.79,0.19
222,1.46,0.1
223,0.25,0.3
224,2.8,2.79
225,1.23,0.01
226,71.07,4.38
227,0.56,31.82
