,a,b
0,313.32,317.49
1,307.15,297.14
2,284.55,295.15
3,299.92,273.47
4,306.21,299.92
5,292.8,296.8
6,302.66,294.63
7,301.09,303.15
8,300.04,304.21
9,298.25,289.34
10,304.33,291.14
11,312.03,295.24
12,290.35,306.9
13,310.28,305.61
14,302.29,286.94
15,304.45,288.81
16,288.63,307.37
17,301.35,315.75
18,314.85,299.69
19,289.2,293.17
20,280.22,310.96
21,282.57,296.9
22,302.66,307.26
23,323.85,315.49
24,311.24,306.3
25,316.73,300.73
26,300.99,307.32
27,313.98,293.57
28,297.29,298.22
29,306.13,294.26
30,297.33,297.96
31,294.51,295.14
32,301.33,298.14
33,295.24,296.19
34,313.08,300.89
35,301.95,300.64
36,304.0,302.96
37,296.62,314.03
38,312.56,284.53
39,292.68,312.96
40,306.6,297.63
41,296.49,287.68
42,290.61,298.28
43,295.11,300.92
44,291.95,310.68
45,297.87,289.38
46,296.61,302.17
47,303.12,301.18
48,305.65,283.16
49,298.53,288.14
50,299.74,306.0
51,302.89,306.96
52,294.6,310.88
53,307.08,305.34
54,308.42,303.95
55,302.04,301.23
56,323.95,312.09
57,309.17,291.57
58,298.88,298.58
59,296.38,303.85
60,297.68,284.23
61,294.98,313.11
62,311.29,292.07
63,293.02,299.28
64,299.19,321.57
65,294.71,291.71
66,310.46,294.71
67,285.81,315.62
68,296.38,289.2
69,298.78,295.68
70,303.19,305.16
71,304.61,304.55
72,297.84,305.94
73,309.89,303.71
74,303.15,313.45
75,324.68,310.16
76,284.92,305.95
77,306.21,293.17
78,289.55,292.86
79,292.02,280.92
80,319.85,306.87
81,317.45,281.77
82,281.44,308.79
83,297.77,318.46
84,299.34,289.38
85,278.68,293.16
86,299.51,295.24
87,303.93,308.3
88,302.17,291.37
89,280.06,298.69
90,311.08,294.77
91,302.45,297.49
92,299.38,312.91
93,292.46,290.36
94,307.12,300.72
95,309.18,302.72
96,295.18,308.59
97,300.9,287.36
98,308.27,311.15
99,280.45,304.35
100,301.17,308.74
101,280.93,300.72
102,290.77,283.61
103,304.7,293.53
104,298.56,308.18
105,296.0,300.37
106,297.04,299.51
107,308.48,317.92
108,307.07,322.02
109,292.13,299.63
110,302.93,319.33
111,295.29,280.06
112,324.04,279.51
113,292.61,308.67
114,296.87,297.38
115,296.51,305.79
116,295.61,305.17
117,301.41,299.11
118,302.73,306.82
119,283.81,301.51
120,294.27,284.68
121,286.8,302.19
122,312.36,301.86
123,324.65,318.33
124,313.83,288.71
125,303.46,300.17
126,310.23,295.76
127,301.67,298.67
128,316.57,316.59
129,306.68,303.79
130,297.7,295.35
131,288.7,301.54
132,293.6,307.66
133,303.14,290.06
134,287.74,297.36
135,297.78,315.42
136,313.4,308.56
137,300.29,299.55
138,319.85,295.23
139,314.47,298.46
140,297.12,284.49
141,286.41,309.43
142,299.52,303.41
143,295.19,301.38
144,303.78,287.03
